text@vvv1988m	@vvv1988m	100.323	101.035	ааам /
text@vvv1988m	@vvv1988m	101.732	104.07	мнение / человека / который /
text@vvv1988m	@vvv1988m	104.605	105.676	ну / создаёт //
text@vvv1988m	@vvv1988m	107.084	107.859	искусство //
text@vvv1988m	@vvv1988m	108.225	112.633	и даже есть у меня пару балетных / критиков / в знакомых которые /
text@vvv1988m	@vvv1988m	113.38	118.267	молодые девчонки / которые ходят / на мастер-классы по танцу / занимаются /
text@vvv1988m	@vvv1988m	118.464	119.309	сами /
text@vvv1988m	@vvv1988m	119.619	128.267	иии я / мог заметить / что их вообще оценка / их рецензии и их взгляд / он очень сильно мутировал / за последние годы //
text@vvv1988m	@vvv1988m	130.479	131.239	нет / плюс //
text@vvv1988m	@vvv1988m	131.802	132.154	плюс //
text@vvv1988m	@vvv1988m	132.563	133.859	да / ну / потому что /
text@vvv1988m	@vvv1988m	134.408	135.725	говорить про танец /
text@vvv1988m	@vvv1988m	136.14	136.941	и танцевать /
text@vvv1988m	@vvv1988m	137.45	139.619	это как бы / совершенно разный вещи //
text@vvv1988m	@vvv1988m	140.253	144.291	и для меня интересен / ааа / более интересен / аам /
text@vvv1988m	@vvv1988m	144.971	147.217	история более интересная / когда /
text@vvv1988m	@vvv1988m	147.591	148.541	балетный критик /
text@vvv1988m	@vvv1988m	149.295	154.239	идёт и берёт занятия / берёт мастер-классы / по танцу / по балету / по современному танцу /
text@vvv1988m	@vvv1988m	154.619	157.633	чем / неудавшийся танцовщик начинает писать //
text@vvv1988m	@vvv1988m	179.088	180.788	нууу /
text@vvv1988m	@vvv1988m	181.471	183.358	я не знаю / ну / это видимо /
text@vvv1988m	@vvv1988m	190.942	195.563	ну / просто есть во-первых разные проекты во-вторых есть разные обстоятельства / если уж так /
text@vvv1988m	@vvv1988m	196.126	199.119	прям серьезно разговаривать про б... / про этот вопрос //
text@vvv1988m	@vvv1988m	199.788	203.225	то есть я конечно согласен / чтооо / допустим /
text@vvv1988m	@vvv1988m	204.114	204.48	мц /
text@vvv1988m	@vvv1988m	205.042	205.887	в /
text@vvv1988m	@vvv1988m	207.17	208.085	паре балетов /
text@vvv1988m	@vvv1988m	208.929	209.486	там /
text@vvv1988m	@vvv1988m	210.416	211.472	главенствует /
text@vvv1988m	@vvv1988m	211.76	212.254	форма //
text@vvv1988m	@vvv1988m	212.957	214.289	главенствует визуал //
text@vvv1988m	@vvv1988m	215.175	215.802	и /
text@vvv1988m	@vvv1988m	216.4	217.484	будучи /
text@vvv1988m	@vvv1988m	217.956	218.773	человеком /
text@vvv1988m	@vvv1988m	219.056	220.928	на тот момент когда я создавал / юным //
text@vvv1988m	@vvv1988m	221.929	223.033	мне очень хотелось /
text@vvv1988m	@vvv1988m	224.537	226.523	например / избежать / классической /
text@vvv1988m	@vvv1988m	227.042	228.531	условности / мне хотелось /
text@vvv1988m	@vvv1988m	229.017	231.778	более... / больше попробовать там / бытовой язык //
text@vvv1988m	@vvv1988m	234.704	237.622	это мы говорим например о балете / там я не знаю / Ярославна //
text@vvv1988m	@vvv1988m	237.859	238.48	например //
text@vvv1988m	@vvv1988m	241.083	241.943	да / ну вот /
text@vvv1988m	@vvv1988m	242.042	250.183	три года прошло // три года это довольно как бы серьёзный там типа срок / можно переформатироваться / при наличии того что я с две тысячи семнадцатого по две тысячи двадцатый /
text@vvv1988m	@vvv1988m	250.605	253.887	сделал довольного много проектов / то есть довольно много практиковал и пробовал //
text@vvv1988m	@vvv1988m	254.682	255.126	и /
text@vvv1988m	@vvv1988m	255.281	259.725	я как бы не стесняюсь об этом говорить / что я нахожусь в поиске / нахожусь в пробе //
text@vvv1988m	@vvv1988m	260.198	262.887	мне / если я знаю каким будет спектакль /
text@vvv1988m	@vvv1988m	263.464	265.507	довольно бессмысленно мне его ставить //
text@vvv1988m	@vvv1988m	265.788	267.324	ну то есть зачем его ставить? /
text@vvv1988m	@vvv1988m	267.647	270.933	ради / какого-то финансового благополучия? / ну /
text@vvv1988m	@vvv1988m	271.239	272.366	вроде как бы там /
text@vvv1988m	@vvv1988m	273.394	274.508	с голоду не мрём //
text@vvv1988m	@vvv1988m	274.69	275.396	пока что //
text@vvv1988m	@vvv1988m	276.352	278.022	поэтому / знаешь / там /
text@vvv1988m	@vvv1988m	278.23	280.159	Лёш / вы уже работаете за еду? //
text@vvv1988m	@vvv1988m	280.363	281.546	нет / пока ещё нет //
text@vvv1988m	@vvv1988m	281.788	283.267	отлично / через неделю наберу //
text@vvv1988m	@vvv1988m	283.408	284.475	и поэтому /
text@vvv1988m	@vvv1988m	285.407	291.773	ну там я изуча... ну то есть я как бы устал от такой / балетной условности / мне хотелось там / иначе / мне не хотелось чтобы князь Игорь /
text@vvv1988m	@vvv1988m	291.831	296.042	аа / расшаркивал по сцене / большими как бы там не знаю / жете партер //
text@vvv1988m	@vvv1988m	296.718	302.239	мне хотелось / чтобы допустим в этой музыке он / более монументально / там на контрасте прошёл //
text@vvv1988m	@vvv1988m	302.647	306.943	и все почему-то / как бы / ммм //  критики именно //
text@vvv1988m	@vvv1988m	307.633	312.112	ну они не оценили этого хода / и окрестили / типа / что / там мало танца //
text@vvv1988m	@vvv1988m	347.253	348.042	да / так и есть //
text@vvv1988m	@vvv1988m	349.386	354.767	ну / мы так и планировали / иии Игорь у нас идёт не какого-то воображаемого врага /
text@vvv1988m	@vvv1988m	354.95	355.78	ааам /
text@vvv1988m	@vvv1988m	356.731	357.295	как бы /
text@vvv1988m	@vvv1988m	358.09	358.619	бить //
text@vvv1988m	@vvv1988m	358.865	359.211	да //
text@vvv1988m	@vvv1988m	359.324	360.042	хорошее слово //
text@vvv1988m	@vvv1988m	360.338	368.042	а он / как бы спускается / так скажем / к своему внутреннему / врагу / он идёт на тёмную сторону своей души // опять же /
text@vvv1988m	@vvv1988m	368.577	370.577	по сценарию / по структуре /
text@vvv1988m	@vvv1988m	370.938	372.394	мне всё очень нравится //
text@vvv1988m	@vvv1988m	372.746	373.807	в этом спектакле //
text@vvv1988m	@vvv1988m	374.169	375.0	по языку /
text@vvv1988m	@vvv1988m	375.321	381.69	конечно / спустя время / я понимаю я попробовал / и я понимаю / что какие-то вещи / там типа / ну большая сцена /
text@vvv1988m	@vvv1988m	381.831	384.436	и какие-то бытовые движения /
text@vvv1988m	@vvv1988m	384.613	390.197	плюс артисты балета / которые существуют всё время в другом языке / в более как бы / экстраординарном //
text@vvv1988m	@vvv1988m	390.338	392.45	ну / не всё срослось / да //
